adj,freq,lexical class,subjectivity score
airy-fairy,1,,
in-,1,,
ecological,1,,
hard-hearted,1,,
bitsy,2,dimension,0.66
cheque,2,,
pungent,1,,
multi-,1,,
parole,1,,
auxiliary,1,,
sanctimonious,1,,
coherent,7,,
ideological,5,,
qualitatively,1,,
awake,2,,
chiming,1,,
tax-exempt,1,,
baked,2,,
bereaved,1,,
